Arquivo,Tamanho,V1 (ms),V2 (ms),V3 (ms),V4 (ms),V5 (ms),V6 (ms)
"a100.txt",100,0.013132,0.036741,0.012852,0.012363,0.02305,0.012783
"a200.txt",200,0.117347,0.046241,0.046101,0.049942,0.050222,0.050292
"a1000.txt",1000,0.925365,0.998218,1.05228,0.957286,0.990883,0.984317
"a2000.txt",2000,7.90032,23.7211,21.2412,34.1396,31.3992,32.1508
"a500.txt",500,0.265846,0.261795,0.267314,0.333251,0.267383,0.332972
"a5000.txt",5000,238.476,233.527,219.163,219.454,221.288,210.877
"a7500.txt",7500,293.344,398.338,103.092,357.96,373.979,300.12
"a10000.txt",10000,593.938,844.939,993.722,740.076,765.823,736.669
"a15000.txt",15000,2149.2,1848.33,2121.57,2057.69,2326.33,2143.28
"a30000.txt",30000,8991.94,7890.26,7773.7,9715.42,8225.21,8953.7
"a50000.txt",50000,27527.5,30071.4,27592.9,28964.5,24544.8,27789.1
"a75000.txt",75000,90702.9,86843.1,85221.4,88462.7,86781,87877.6
"a100000.txt",100000,164120,160822,165024,166869,164538,162547
"a200000.txt",200000,624928,626569,621412,624061,618376,610240
"a500000.txt",500000,3.47475e+06,3.36542e+06,3.46013e+06,3.46135e+06,3.47682e+06,3.42082e+06
"a750000.txt",750000,6.99586e+06,6.92538e+06,6.92454e+06,6.88687e+06,6.97196e+06,6.94828e+06
"a1000000.txt",1000000,1.09133e+07,1.08683e+07,1.08394e+07,1.08923e+07,1.08306e+07,1.09089e+07
"a1250000.txt",1250000,1.46514e+07,1.47494e+07,1.47523e+07,1.47183e+07,1.45234e+07,1.47436e+07
"a1500000.txt",1500000,1.77452e+07,1.77463e+07,1.78153e+07,1.75961e+07,1.77802e+07,1.77818e+07
"a2000000.txt",2000000,2.15212e+07,2.16756e+07,2.16424e+07,2.16939e+07,2.17324e+07,2.15973e+07
