Arquivo,Tamanho,V1 (ms),V2 (ms),V3 (ms),V4 (ms),V5 (ms),V6 (ms)
"po100.txt",100,0.009569,0.009499,0.007124,0.008591,0.009359,0.010058
"po2000.txt",2000,0.146678,0.141579,0.107843,0.146468,0.130683,0.141648
"po1000.txt",1000,0.077321,0.057624,0.078787,0.076202,0.072361,0.076902
"po200.txt",200,0.014877,0.018998,0.018509,0.01844,0.012573,0.017601
"po15000.txt",15000,14.6893,1.08276,0.984626,4.58759,0.949703,0.974499
"po7500.txt",7500,0.605639,0.612694,0.633298,4.29849,0.609621,0.629527
"po500.txt",500,0.02766,0.036181,0.038555,0.039533,0.039743,0.038765
"po5000.txt",5000,0.380733,1.52999,0.376473,0.380175,0.390093,0.38199
"po10000.txt",10000,1.10274,1.11852,0.715648,2.64432,0.89201,0.913383
"po100000.txt",100000,7.39828,24.7216,3.21315,33.0109,7.10255,3.19345
"po75000.txt",75000,21.0671,10.3212,2.32198,2.54563,4.64947,14.6708
"po200000.txt",200000,13.6704,14.1849,21.1568,11.0919,22.0536,17.0772
"po50000.txt",50000,12.3461,12.4128,2.5195,2.53187,3.01325,13.4174
"po30000.txt",30000,13.7906,2.64495,2.61771,2.99907,19.6828,2.08247
"po500000.txt",500000,7.31419,11.1307,16.0378,15.3771,29.0759,22.9017
"po750000.txt",750000,35.1135,33.0223,34.9386,36.6756,41.6866,31.6843
"po1000000.txt",1000000,31.4085,43.8842,42.4626,33.4295,20.5102,23.5587
"po1250000.txt",1250000,28.5188,45.6265,39.7569,27.6989,38.4708,28.0881
"po1500000.txt",1500000,47.0279,41.1866,40.3449,29.6527,35.7009,38.3642
"po2000000.txt",2000000,35.2786,48.7003,18.6787,50.053,47.4583,38.1346
