Arquivo,Tamanho,V1 (ms),V2 (ms),V3 (ms),V4 (ms),V5 (ms),V6 (ms)
"d200.txt",200,0.088149,0.09248,0.09199,0.068312,0.091571,0.09192
"d1000.txt",1000,8.23674,2.14588,17.0833,2.12374,2.14924,1.89869
"d2000.txt",2000,77.1947,14.5327,92.7469,24.5921,87.6084,29.1411
"d500.txt",500,0.534899,0.533781,0.554596,0.541954,0.555295,0.538391
"d100.txt",100,0.023888,0.024377,0.023958,0.023749,0.023748,0.03667
"d5000.txt",5000,365.961,499.872,633.2,434.787,466.93,672.538
"d7500.txt",7500,2192.82,2099.57,1702.72,1820.3,1399.24,1300.4
"d10000.txt",10000,4348.07,4179.52,3968.68,4355.87,4139.21,4128.51
"d15000.txt",15000,10320,10236.7,10561.2,10154.3,10657.2,10239
"d30000.txt",30000,40387.9,42193.5,35762.7,40074,39224.4,39626.6
"d50000.txt",50000,103935,103349,109016,107907,110204,109670
"d75000.txt",75000,227908,225035,216742,227411,232525,232189
"d100000.txt",100000,381140,368617,380826,380776,373767,381258
"d200000.txt",200000,1.29332e+06,1.31029e+06,1.32007e+06,1.32842e+06,1.31717e+06,1.31288e+06
"d500000.txt",500000,6.95197e+06,7.01281e+06,7.0055e+06,6.97714e+06,6.89666e+06,7.01158e+06
"d750000.txt",750000,1.39917e+07,1.41227e+07,1.39428e+07,1.38986e+07,1.39959e+07,1.39612e+07
"d1000000.txt",1000000,2.17607e+07,2.18267e+07,2.18098e+07,2.18352e+07,2.17355e+07,2.18209e+07
"d1250000.txt",1250000,2.55237e+07,2.55667e+07,2.55692e+07,2.55482e+07,2.55354e+07,2.55485e+07
"d1500000.txt",1500000,2.85997e+07,2.85827e+07,2.88646e+07,2.86019e+07,2.8615e+07,2.8609e+07
"d2000000.txt",2000000,3.37628e+07,3.36303e+07,3.37987e+07,3.37768e+07,3.37507e+07,3.37328e+07
