Arquivo,Tamanho,V1 (ms),V2 (ms),V3 (ms),V4 (ms),V5 (ms),V6 (ms)
"o30000.txt",30000,0.173083,0.178181,0.177343,0.173711,0.215201,0.214851
"o100.txt",100,0.001956,0.001886,0.003352,0.002305,0.002445,0.002375
"o200.txt",200,0.002934,0.001886,0.00475,0.001956,0.004331,0.002445
"o5000.txt",5000,0.031431,0.026193,0.029546,0.030523,0.028847,0.030523
"o50000.txt",50000,0.296225,0.299298,4.37561,8.27899,0.304815,0.308028
"o15000.txt",15000,0.081582,0.088427,0.081163,0.090104,0.090103,0.090872
"o1000.txt",1000,0.007683,0.007124,0.007125,0.009081,0.007054,0.009081
"o2000.txt",2000,0.015716,0.013481,0.119719,0.015716,0.013271,0.010128
"o7500.txt",7500,0.044842,0.047567,0.050431,0.050081,0.045401,0.052525
"o100000.txt",100000,0.595801,0.622064,1.35079,2.65687,0.591052,0.614241
"o10000.txt",10000,0.063771,0.067053,0.081931,0.06398,0.063422,0.063841
"o500.txt",500,0.003353,0.00482,0.0044,0.0044,0.004261,0.004191
"o200000.txt",200000,1.29093,1.20704,1.20739,1.2794,1.20802,1.24804
"o75000.txt",75000,0.465466,0.450657,0.465466,0.454918,0.441437,0.444581
"o500000.txt",500000,13.1349,14.0432,19.0039,6.07745,17.2614,4.03594
"o750000.txt",750000,18.692,25.5716,18.6415,23.2079,27.3118,12.2503
"o1250000.txt",1250000,29.0412,24.3416,26.5695,23.8072,23.4551,17.1575
"o1000000.txt",1000000,13.3952,21.0763,25.228,18.3769,15.0254,19.266
"o1500000.txt",1500000,27.2762,28.1987,30.8221,21.3026,27.1761,21.514
"o2000000.txt",2000000,27.1579,33.2459,40.4164,36.4457,34.2222,34.3273
